listing_id,title,make,model,year,price,mileage,province,vehicle_type,source,scraped_at,vehicle_age,age_bucket
mock_0000,Honda City 2020,Honda,City,2020,243000.0,84200.0,Saraburi,Car,Mock,2026-07-07T10:54:42.639371,6,6-10 yrs
mock_0001,Toyota CHR 2019,Toyota,Chr,2019,317000.0,135800.0,Saraburi,Car,Mock,2026-07-07T10:54:42.639371,7,6-10 yrs
mock_0002,Ford Ranger 2015,Ford,Ranger,2015,378000.0,128400.0,Nonthaburi,Car,Mock,2026-07-07T10:54:42.639371,11,10+ yrs
mock_0003,Honda Click 150 2016,Honda,Click 150,2016,19000.0,118100.0,Rayong,Motorcycle,Mock,2026-07-07T10:54:42.639371,10,6-10 yrs
mock_0004,Honda Civic 2015,Honda,Civic,2015,374000.0,134100.0,Saraburi,Car,Mock,2026-07-07T10:54:42.639371,11,10+ yrs
mock_0005,Honda City 2014,Honda,City,2014,201000.0,200000.0,Phuket,Car,Mock,2026-07-07T10:54:42.639371,12,10+ yrs
mock_0006,Toyota Hilux Revo 2015,Toyota,Hilux Revo,2015,426000.0,150900.0,Chonburi,Car,Mock,2026-07-07T10:54:42.639371,11,10+ yrs
mock_0007,Honda PCX 160 2021,Honda,Pcx 160,2021,47000.0,58400.0,Pathum Thani,Motorcycle,Mock,2026-07-07T10:54:42.639371,5,3-5 yrs
mock_0008,Mitsubishi Triton 2019,Mitsubishi,Triton,2019,358000.0,78300.0,Rayong,Car,Mock,2026-07-07T10:54:42.639371,7,6-10 yrs
mock_0009,Mitsubishi Triton 2017,Mitsubishi,Triton,2017,363000.0,82300.0,Chiang Mai,Car,Mock,2026-07-07T10:54:42.639371,9,6-10 yrs
mock_0010,Mazda CX-5 2019,Mazda,Cx-5,2019,429000.0,165500.0,Nakhon Ratchasima,Car,Mock,2026-07-07T10:54:42.639371,7,6-10 yrs
mock_0011,Ford EcoSport 2013,Ford,Ecosport,2013,235000.0,178900.0,Khon Kaen,Car,Mock,2026-07-07T10:54:42.639371,13,10+ yrs
mock_0012,Nissan Almera 2012,Nissan,Almera,2012,202000.0,295100.0,Rayong,Car,Mock,2026-07-07T10:54:42.639371,14,10+ yrs
mock_0013,Mercedes-Benz C-Class 2021,Mercedes-Benz,C-Class,2021,959000.0,65500.0,Khon Kaen,Car,Mock,2026-07-07T10:54:42.639371,5,3-5 yrs
mock_0014,Honda CR-V 2015,Honda,Cr-V,2015,459000.0,282100.0,Lampang,Car,Mock,2026-07-07T10:54:42.639371,11,10+ yrs
mock_0015,Nissan Note 2012,Nissan,Note,2012,136000.0,302800.0,Nakhon Ratchasima,Car,Mock,2026-07-07T10:54:42.639371,14,10+ yrs
mock_0016,Honda City 2016,Honda,City,2016,217000.0,183700.0,Nonthaburi,Car,Mock,2026-07-07T10:54:42.639371,10,6-10 yrs
mock_0017,Kawasaki Ninja 300 2022,Kawasaki,Ninja 300,2022,84000.0,78100.0,Khon Kaen,Motorcycle,Mock,2026-07-07T10:54:42.639371,4,3-5 yrs
mock_0018,Mercedes-Benz C-Class 2016,Mercedes-Benz,C-Class,2016,1026000.0,233800.0,Krabi,Car,Mock,2026-07-07T10:54:42.639371,10,6-10 yrs
mock_0019,Mazda CX-5 2019,Mazda,Cx-5,2019,407000.0,88800.0,Samut Prakan,Car,Mock,2026-07-07T10:54:42.639371,7,6-10 yrs
mock_0020,Toyota CHR 2023,Toyota,Chr,2023,535000.0,65100.0,Khon Kaen,Car,Mock,2026-07-07T10:54:42.639371,3,3-5 yrs
mock_0021,Yamaha R15 2019,Yamaha,R15,2019,42000.0,133100.0,Pathum Thani,Motorcycle,Mock,2026-07-07T10:54:42.639371,7,6-10 yrs
mock_0022,Suzuki GSX-S150 2016,Suzuki,Gsx-S150,2016,31000.0,141900.0,Chiang Rai,Motorcycle,Mock,2026-07-07T10:54:42.639371,10,6-10 yrs
mock_0023,Yamaha NMAX 155 2019,Yamaha,Nmax 155,2019,38000.0,69800.0,Prachuap Khiri Khan,Motorcycle,Mock,2026-07-07T10:54:42.639371,7,6-10 yrs
mock_0024,Nissan Navara 2017,Nissan,Navara,2017,316000.0,82600.0,Chiang Mai,Car,Mock,2026-07-07T10:54:42.639371,9,6-10 yrs
mock_0025,Suzuki Swift 2018,Suzuki,Swift,2018,181000.0,119000.0,Khon Kaen,Car,Mock,2026-07-07T10:54:42.639371,8,6-10 yrs
mock_0026,Yamaha R15 2022,Yamaha,R15,2022,63000.0,39700.0,Hat Yai (Songkhla),Motorcycle,Mock,2026-07-07T10:54:42.639371,4,3-5 yrs
mock_0027,BMW Series 3 2015,Bmw,Series 3,2015,884000.0,132200.0,Chonburi,Car,Mock,2026-07-07T10:54:42.639371,11,10+ yrs
mock_0028,Toyota Fortuner 2019,Toyota,Fortuner,2019,627000.0,70100.0,Pathum Thani,Car,Mock,2026-07-07T10:54:42.639371,7,6-10 yrs
mock_0029,Suzuki GSX-S150 2019,Suzuki,Gsx-S150,2019,28000.0,104600.0,Phuket,Motorcycle,Mock,2026-07-07T10:54:42.639371,7,6-10 yrs
mock_0030,Yamaha NMAX 155 2019,Yamaha,Nmax 155,2019,35000.0,158600.0,Phuket,Motorcycle,Mock,2026-07-07T10:54:42.639371,7,6-10 yrs
mock_0031,Nissan Almera 2018,Nissan,Almera,2018,196000.0,164600.0,Nonthaburi,Car,Mock,2026-07-07T10:54:42.639371,8,6-10 yrs
mock_0032,Honda PCX 160 2023,Honda,Pcx 160,2023,67000.0,45600.0,Saraburi,Motorcycle,Mock,2026-07-07T10:54:42.639371,3,3-5 yrs
mock_0033,Yamaha MT-15 2022,Yamaha,Mt-15,2022,53000.0,45900.0,Saraburi,Motorcycle,Mock,2026-07-07T10:54:42.639371,4,3-5 yrs
mock_0034,Toyota Fortuner 2017,Toyota,Fortuner,2017,436000.0,133700.0,Lampang,Car,Mock,2026-07-07T10:54:42.639371,9,6-10 yrs
mock_0035,Toyota CHR 2022,Toyota,Chr,2022,278000.0,51300.0,Prachuap Khiri Khan,Car,Mock,2026-07-07T10:54:42.639371,4,3-5 yrs
mock_0036,Nissan Almera 2020,Nissan,Almera,2020,214000.0,122000.0,Nakhon Ratchasima,Car,Mock,2026-07-07T10:54:42.639371,6,6-10 yrs
mock_0037,Nissan Note 2017,Nissan,Note,2017,186000.0,121100.0,Surat Thani,Car,Mock,2026-07-07T10:54:42.639371,9,6-10 yrs
mock_0038,Yamaha Aerox 155 2021,Yamaha,Aerox 155,2021,45000.0,49500.0,Prachuap Khiri Khan,Motorcycle,Mock,2026-07-07T10:54:42.639371,5,3-5 yrs
mock_0039,Honda Civic 2019,Honda,Civic,2019,353000.0,107300.0,Phuket,Car,Mock,2026-07-07T10:54:42.639371,7,6-10 yrs
mock_0040,Nissan Almera 2015,Nissan,Almera,2015,191000.0,233300.0,Krabi,Car,Mock,2026-07-07T10:54:42.639371,11,10+ yrs
mock_0041,Kawasaki Z400 2023,Kawasaki,Z400,2023,127000.0,44300.0,Khon Kaen,Motorcycle,Mock,2026-07-07T10:54:42.639371,3,3-5 yrs
mock_0042,Nissan Note 2019,Nissan,Note,2019,194000.0,75800.0,Krabi,Car,Mock,2026-07-07T10:54:42.639371,7,6-10 yrs
mock_0043,Ford EcoSport 2015,Ford,Ecosport,2015,226000.0,158100.0,Udon Thani,Car,Mock,2026-07-07T10:54:42.639371,11,10+ yrs
mock_0044,Toyota Fortuner 2022,Toyota,Fortuner,2022,739000.0,30100.0,Khon Kaen,Car,Mock,2026-07-07T10:54:42.639371,4,3-5 yrs
mock_0045,Nissan Note 2018,Nissan,Note,2018,189000.0,141000.0,Chonburi,Car,Mock,2026-07-07T10:54:42.639371,8,6-10 yrs
mock_0046,Toyota Yaris 2018,Toyota,Yaris,2018,222000.0,161300.0,Hat Yai (Songkhla),Car,Mock,2026-07-07T10:54:42.639371,8,6-10 yrs
mock_0047,Honda HR-V 2021,Honda,Hr-V,2021,355000.0,66000.0,Pathum Thani,Car,Mock,2026-07-07T10:54:42.639371,5,3-5 yrs
mock_0048,Nissan Almera 2019,Nissan,Almera,2019,194000.0,149800.0,Khon Kaen,Car,Mock,2026-07-07T10:54:42.639371,7,6-10 yrs
mock_0049,Nissan Almera 2018,Nissan,Almera,2018,219000.0,95800.0,Nakhon Ratchasima,Car,Mock,2026-07-07T10:54:42.639371,8,6-10 yrs
mock_0050,Honda CBR 150R 2016,Honda,Cbr 150R,2016,41000.0,121000.0,Chonburi,Motorcycle,Mock,2026-07-07T10:54:42.639371,10,6-10 yrs
mock_0051,Honda PCX 160 2023,Honda,Pcx 160,2023,66000.0,47900.0,Samut Prakan,Motorcycle,Mock,2026-07-07T10:54:42.639371,3,3-5 yrs
mock_0052,Nissan Navara 2020,Nissan,Navara,2020,361000.0,106500.0,Udon Thani,Car,Mock,2026-07-07T10:54:42.639371,6,6-10 yrs
mock_0053,BMW Series 3 2015,Bmw,Series 3,2015,932000.0,214400.0,Chonburi,Car,Mock,2026-07-07T10:54:42.639371,11,10+ yrs
mock_0054,Nissan Note 2018,Nissan,Note,2018,183000.0,65000.0,Hat Yai (Songkhla),Car,Mock,2026-07-07T10:54:42.639371,8,6-10 yrs
mock_0055,BMW Series 3 2016,Bmw,Series 3,2016,889000.0,110700.0,Prachuap Khiri Khan,Car,Mock,2026-07-07T10:54:42.639371,10,6-10 yrs
mock_0056,Ford Ranger 2017,Ford,Ranger,2017,364000.0,209200.0,Saraburi,Car,Mock,2026-07-07T10:54:42.639371,9,6-10 yrs
mock_0057,Ford Ranger 2016,Ford,Ranger,2016,395000.0,165500.0,Chonburi,Car,Mock,2026-07-07T10:54:42.639371,10,6-10 yrs
mock_0058,Mazda 3 2016,Mazda,3,2016,310000.0,153300.0,Pathum Thani,Car,Mock,2026-07-07T10:54:42.639371,10,6-10 yrs
mock_0059,Honda CBR 150R 2017,Honda,Cbr 150R,2017,44000.0,123700.0,Surat Thani,Motorcycle,Mock,2026-07-07T10:54:42.639371,9,6-10 yrs
mock_0060,Honda Wave 110 2012,Honda,Wave 110,2012,16000.0,180300.0,Prachuap Khiri Khan,Motorcycle,Mock,2026-07-07T10:54:42.639371,14,10+ yrs
mock_0061,Mazda CX-5 2019,Mazda,Cx-5,2019,445000.0,126600.0,Nonthaburi,Car,Mock,2026-07-07T10:54:42.639371,7,6-10 yrs
mock_0062,Toyota CHR 2021,Toyota,Chr,2021,401000.0,58600.0,Samut Prakan,Car,Mock,2026-07-07T10:54:42.639371,5,3-5 yrs
mock_0063,Mazda 3 2017,Mazda,3,2017,268000.0,170700.0,Phuket,Car,Mock,2026-07-07T10:54:42.639371,9,6-10 yrs
mock_0064,Yamaha Aerox 155 2020,Yamaha,Aerox 155,2020,39000.0,97400.0,Samut Prakan,Motorcycle,Mock,2026-07-07T10:54:42.639371,6,6-10 yrs
mock_0065,Honda Jazz 2019,Honda,Jazz,2019,194000.0,96000.0,Samut Prakan,Car,Mock,2026-07-07T10:54:42.639371,7,6-10 yrs
mock_0066,Isuzu D-Max 2013,Isuzu,D-Max,2013,346000.0,151800.0,Ubon Ratchathani,Car,Mock,2026-07-07T10:54:42.639371,13,10+ yrs
mock_0067,Kawasaki Z400 2019,Kawasaki,Z400,2019,87000.0,128900.0,Lampang,Motorcycle,Mock,2026-07-07T10:54:42.639371,7,6-10 yrs
mock_0068,Honda Click 150 2014,Honda,Click 150,2014,22000.0,206900.0,Samut Prakan,Motorcycle,Mock,2026-07-07T10:54:42.639371,12,10+ yrs
mock_0069,Mitsubishi Triton 2013,Mitsubishi,Triton,2013,359000.0,165300.0,Samut Prakan,Car,Mock,2026-07-07T10:54:42.639371,13,10+ yrs
mock_0070,Mitsubishi Triton 2015,Mitsubishi,Triton,2015,337000.0,106700.0,Rayong,Car,Mock,2026-07-07T10:54:42.639371,11,10+ yrs
mock_0071,Honda Jazz 2016,Honda,Jazz,2016,164000.0,185000.0,Chiang Mai,Car,Mock,2026-07-07T10:54:42.639371,10,6-10 yrs
mock_0072,Ford EcoSport 2014,Ford,Ecosport,2014,235000.0,150300.0,Prachuap Khiri Khan,Car,Mock,2026-07-07T10:54:42.639371,12,10+ yrs
mock_0073,Honda PCX 160 2020,Honda,Pcx 160,2020,38000.0,119200.0,Hat Yai (Songkhla),Motorcycle,Mock,2026-07-07T10:54:42.639371,6,6-10 yrs
mock_0074,Suzuki GSX-S150 2017,Suzuki,Gsx-S150,2017,31000.0,121700.0,Udon Thani,Motorcycle,Mock,2026-07-07T10:54:42.639371,9,6-10 yrs
mock_0075,Honda Click 150 2014,Honda,Click 150,2014,18000.0,226300.0,Ubon Ratchathani,Motorcycle,Mock,2026-07-07T10:54:42.639371,12,10+ yrs
mock_0076,Honda HR-V 2021,Honda,Hr-V,2021,399000.0,39200.0,Hat Yai (Songkhla),Car,Mock,2026-07-07T10:54:42.639371,5,3-5 yrs
mock_0077,Honda HR-V 2014,Honda,Hr-V,2014,300000.0,152500.0,Nakhon Ratchasima,Car,Mock,2026-07-07T10:54:42.639371,12,10+ yrs
mock_0078,Suzuki Swift 2013,Suzuki,Swift,2013,172000.0,187100.0,Phuket,Car,Mock,2026-07-07T10:54:42.639371,13,10+ yrs
mock_0079,Yamaha R15 2023,Yamaha,R15,2023,47000.0,44700.0,Chiang Mai,Motorcycle,Mock,2026-07-07T10:54:42.639371,3,3-5 yrs
mock_0080,Toyota Corolla 2018,Toyota,Corolla,2018,231000.0,95000.0,Chonburi,Car,Mock,2026-07-07T10:54:42.639371,8,6-10 yrs
mock_0081,Ford EcoSport 2013,Ford,Ecosport,2013,250000.0,176300.0,Chonburi,Car,Mock,2026-07-07T10:54:42.639371,13,10+ yrs
mock_0082,Honda CR-V 2017,Honda,Cr-V,2017,327000.0,136300.0,Pathum Thani,Car,Mock,2026-07-07T10:54:42.639371,9,6-10 yrs
mock_0083,Toyota Yaris 2017,Toyota,Yaris,2017,202000.0,211300.0,Prachuap Khiri Khan,Car,Mock,2026-07-07T10:54:42.639371,9,6-10 yrs
mock_0084,Toyota Hilux Revo 2018,Toyota,Hilux Revo,2018,453000.0,89400.0,Nakhon Ratchasima,Car,Mock,2026-07-07T10:54:42.639371,8,6-10 yrs
mock_0085,Toyota Camry 2014,Toyota,Camry,2014,385000.0,236600.0,Hat Yai (Songkhla),Car,Mock,2026-07-07T10:54:42.639371,12,10+ yrs
mock_0086,Isuzu D-Max 2016,Isuzu,D-Max,2016,389000.0,175400.0,Prachuap Khiri Khan,Car,Mock,2026-07-07T10:54:42.639371,10,6-10 yrs
mock_0087,Mitsubishi Triton 2015,Mitsubishi,Triton,2015,375000.0,108900.0,Ubon Ratchathani,Car,Mock,2026-07-07T10:54:42.639371,11,10+ yrs
mock_0088,Nissan Almera 2013,Nissan,Almera,2013,203000.0,144600.0,Nakhon Ratchasima,Car,Mock,2026-07-07T10:54:42.639371,13,10+ yrs
mock_0089,Isuzu D-Max 2013,Isuzu,D-Max,2013,358000.0,175700.0,Krabi,Car,Mock,2026-07-07T10:54:42.639371,13,10+ yrs
mock_0090,Mitsubishi Triton 2020,Mitsubishi,Triton,2020,351000.0,94800.0,Nakhon Sawan,Car,Mock,2026-07-07T10:54:42.639371,6,6-10 yrs
mock_0091,Nissan Almera 2013,Nissan,Almera,2013,206000.0,101000.0,Samut Prakan,Car,Mock,2026-07-07T10:54:42.639371,13,10+ yrs
mock_0092,Honda Wave 110 2017,Honda,Wave 110,2017,14000.0,164900.0,Chiang Rai,Motorcycle,Mock,2026-07-07T10:54:42.639371,9,6-10 yrs
mock_0093,Honda Click 150 2016,Honda,Click 150,2016,19000.0,127800.0,Chonburi,Motorcycle,Mock,2026-07-07T10:54:42.639371,10,6-10 yrs
mock_0094,Ford Ranger 2016,Ford,Ranger,2016,370000.0,106200.0,Nakhon Sawan,Car,Mock,2026-07-07T10:54:42.639371,10,6-10 yrs
mock_0095,Mitsubishi Triton 2016,Mitsubishi,Triton,2016,384000.0,124200.0,Nonthaburi,Car,Mock,2026-07-07T10:54:42.639371,10,6-10 yrs
mock_0096,Mazda 3 2020,Mazda,3,2020,264000.0,67500.0,Khon Kaen,Car,Mock,2026-07-07T10:54:42.639371,6,6-10 yrs
mock_0097,Yamaha MT-15 2023,Yamaha,Mt-15,2023,70000.0,52400.0,Nakhon Ratchasima,Motorcycle,Mock,2026-07-07T10:54:42.639371,3,3-5 yrs
mock_0098,Isuzu D-Max 2020,Isuzu,D-Max,2020,361000.0,85000.0,Rayong,Car,Mock,2026-07-07T10:54:42.639371,6,6-10 yrs
mock_0099,Yamaha MT-15 2023,Yamaha,Mt-15,2023,66000.0,29600.0,Prachuap Khiri Khan,Motorcycle,Mock,2026-07-07T10:54:42.639371,3,3-5 yrs
mock_0100,Mazda 3 2019,Mazda,3,2019,230000.0,147600.0,Krabi,Car,Mock,2026-07-07T10:54:42.639371,7,6-10 yrs
mock_0101,Nissan Navara 2014,Nissan,Navara,2014,347000.0,305000.0,Surat Thani,Car,Mock,2026-07-07T10:54:42.639371,12,10+ yrs
mock_0102,Toyota Fortuner 2018,Toyota,Fortuner,2018,457000.0,92500.0,Phuket,Car,Mock,2026-07-07T10:54:42.639371,8,6-10 yrs
mock_0103,Honda CR-V 2018,Honda,Cr-V,2018,357000.0,154800.0,Nakhon Sawan,Car,Mock,2026-07-07T10:54:42.639371,8,6-10 yrs
mock_0104,Mitsubishi Pajero 2021,Mitsubishi,Pajero,2021,549000.0,64800.0,Samut Prakan,Car,Mock,2026-07-07T10:54:42.639371,5,3-5 yrs
mock_0105,Nissan Note 2017,Nissan,Note,2017,177000.0,139400.0,Khon Kaen,Car,Mock,2026-07-07T10:54:42.639371,9,6-10 yrs
mock_0106,Toyota Yaris 2020,Toyota,Yaris,2020,205000.0,145300.0,Ubon Ratchathani,Car,Mock,2026-07-07T10:54:42.639371,6,6-10 yrs
mock_0107,Honda City 2013,Honda,City,2013,228000.0,188000.0,Nakhon Sawan,Car,Mock,2026-07-07T10:54:42.639371,13,10+ yrs
mock_0108,Yamaha NMAX 155 2023,Yamaha,Nmax 155,2023,59000.0,48700.0,Bangkok,Motorcycle,Mock,2026-07-07T10:54:42.639371,3,3-5 yrs
mock_0109,Toyota CHR 2022,Toyota,Chr,2022,491000.0,81800.0,Bangkok,Car,Mock,2026-07-07T10:54:42.639371,4,3-5 yrs
mock_0110,Mitsubishi Triton 2020,Mitsubishi,Triton,2020,368000.0,121100.0,Udon Thani,Car,Mock,2026-07-07T10:54:42.639371,6,6-10 yrs
mock_0111,Isuzu D-Max 2014,Isuzu,D-Max,2014,390000.0,135400.0,Hat Yai (Songkhla),Car,Mock,2026-07-07T10:54:42.639371,12,10+ yrs
mock_0112,Suzuki Swift 2014,Suzuki,Swift,2014,186000.0,175000.0,Nakhon Sawan,Car,Mock,2026-07-07T10:54:42.639371,12,10+ yrs
mock_0113,Mitsubishi Pajero 2015,Mitsubishi,Pajero,2015,584000.0,144500.0,Udon Thani,Car,Mock,2026-07-07T10:54:42.639371,11,10+ yrs
mock_0114,Mazda CX-5 2022,Mazda,Cx-5,2022,590000.0,88100.0,Bangkok,Car,Mock,2026-07-07T10:54:42.639371,4,3-5 yrs
mock_0115,Suzuki GSX-S150 2019,Suzuki,Gsx-S150,2019,29000.0,119700.0,Nakhon Sawan,Motorcycle,Mock,2026-07-07T10:54:42.639371,7,6-10 yrs
mock_0116,Yamaha NMAX 155 2023,Yamaha,Nmax 155,2023,54000.0,42500.0,Nakhon Sawan,Motorcycle,Mock,2026-07-07T10:54:42.639371,3,3-5 yrs
mock_0117,Honda City 2020,Honda,City,2020,254000.0,94000.0,Surat Thani,Car,Mock,2026-07-07T10:54:42.639371,6,6-10 yrs
mock_0118,Toyota Camry 2012,Toyota,Camry,2012,540000.0,162200.0,Chonburi,Car,Mock,2026-07-07T10:54:42.639371,14,10+ yrs
mock_0119,Honda Jazz 2012,Honda,Jazz,2012,196000.0,192400.0,Nakhon Sawan,Car,Mock,2026-07-07T10:54:42.639371,14,10+ yrs
mock_0120,Yamaha R15 2022,Yamaha,R15,2022,48000.0,79700.0,Khon Kaen,Motorcycle,Mock,2026-07-07T10:54:42.639371,4,3-5 yrs
mock_0121,Toyota Yaris 2016,Toyota,Yaris,2016,232000.0,196200.0,Lampang,Car,Mock,2026-07-07T10:54:42.639371,10,6-10 yrs
mock_0122,Mitsubishi Triton 2020,Mitsubishi,Triton,2020,335000.0,123300.0,Nakhon Sawan,Car,Mock,2026-07-07T10:54:42.639371,6,6-10 yrs
mock_0123,Honda Jazz 2012,Honda,Jazz,2012,181000.0,308600.0,Rayong,Car,Mock,2026-07-07T10:54:42.639371,14,10+ yrs
mock_0124,Yamaha Aerox 155 2021,Yamaha,Aerox 155,2021,44000.0,72600.0,Samut Prakan,Motorcycle,Mock,2026-07-07T10:54:42.639371,5,3-5 yrs
mock_0125,Honda CBR 150R 2022,Honda,Cbr 150R,2022,52000.0,60500.0,Khon Kaen,Motorcycle,Mock,2026-07-07T10:54:42.639371,4,3-5 yrs
mock_0126,Yamaha MT-15 2023,Yamaha,Mt-15,2023,60000.0,56600.0,Ubon Ratchathani,Motorcycle,Mock,2026-07-07T10:54:42.639371,3,3-5 yrs
mock_0127,Honda Civic 2013,Honda,Civic,2013,214000.0,121300.0,Udon Thani,Car,Mock,2026-07-07T10:54:42.639371,13,10+ yrs
mock_0128,Suzuki Swift 2013,Suzuki,Swift,2013,185000.0,226100.0,Nakhon Ratchasima,Car,Mock,2026-07-07T10:54:42.639371,13,10+ yrs
mock_0129,Yamaha MT-15 2019,Yamaha,Mt-15,2019,28000.0,133700.0,Phuket,Motorcycle,Mock,2026-07-07T10:54:42.639371,7,6-10 yrs
mock_0130,Honda Click 150 2020,Honda,Click 150,2020,24000.0,67500.0,Surat Thani,Motorcycle,Mock,2026-07-07T10:54:42.639371,6,6-10 yrs
mock_0131,Toyota Corolla 2021,Toyota,Corolla,2021,258000.0,67100.0,Lampang,Car,Mock,2026-07-07T10:54:42.639371,5,3-5 yrs
mock_0132,Honda CBR 150R 2018,Honda,Cbr 150R,2018,41000.0,76900.0,Rayong,Motorcycle,Mock,2026-07-07T10:54:42.639371,8,6-10 yrs
mock_0133,Nissan Almera 2013,Nissan,Almera,2013,164000.0,179600.0,Bangkok,Car,Mock,2026-07-07T10:54:42.639371,13,10+ yrs
mock_0134,Yamaha Aerox 155 2021,Yamaha,Aerox 155,2021,43000.0,109200.0,Prachuap Khiri Khan,Motorcycle,Mock,2026-07-07T10:54:42.639371,5,3-5 yrs
mock_0135,Mazda 3 2014,Mazda,3,2014,311000.0,147000.0,Rayong,Car,Mock,2026-07-07T10:54:42.639371,12,10+ yrs
mock_0136,Yamaha R15 2023,Yamaha,R15,2023,65000.0,51100.0,Surat Thani,Motorcycle,Mock,2026-07-07T10:54:42.639371,3,3-5 yrs
mock_0137,Toyota Corolla 2015,Toyota,Corolla,2015,286000.0,148100.0,Nakhon Sawan,Car,Mock,2026-07-07T10:54:42.639371,11,10+ yrs
mock_0138,Mitsubishi Pajero 2018,Mitsubishi,Pajero,2018,562000.0,112500.0,Khon Kaen,Car,Mock,2026-07-07T10:54:42.639371,8,6-10 yrs
mock_0139,Honda Civic 2020,Honda,Civic,2020,337000.0,107500.0,Khon Kaen,Car,Mock,2026-07-07T10:54:42.639371,6,6-10 yrs
mock_0140,Toyota CHR 2021,Toyota,Chr,2021,386000.0,51800.0,Saraburi,Car,Mock,2026-07-07T10:54:42.639371,5,3-5 yrs
mock_0141,Mercedes-Benz C-Class 2018,Mercedes-Benz,C-Class,2018,1100000.0,86800.0,Nakhon Sawan,Car,Mock,2026-07-07T10:54:42.639371,8,6-10 yrs
mock_0142,Mitsubishi Pajero 2016,Mitsubishi,Pajero,2016,583000.0,88100.0,Samut Prakan,Car,Mock,2026-07-07T10:54:42.639371,10,6-10 yrs
mock_0143,Honda Wave 110 2012,Honda,Wave 110,2012,15000.0,123000.0,Chonburi,Motorcycle,Mock,2026-07-07T10:54:42.639371,14,10+ yrs
mock_0144,Yamaha Aerox 155 2021,Yamaha,Aerox 155,2021,43000.0,90900.0,Chiang Rai,Motorcycle,Mock,2026-07-07T10:54:42.639371,5,3-5 yrs
mock_0145,Honda Civic 2017,Honda,Civic,2017,348000.0,155000.0,Krabi,Car,Mock,2026-07-07T10:54:42.639371,9,6-10 yrs
mock_0146,Nissan Navara 2019,Nissan,Navara,2019,359000.0,114000.0,Chonburi,Car,Mock,2026-07-07T10:54:42.639371,7,6-10 yrs
mock_0147,Honda HR-V 2021,Honda,Hr-V,2021,402000.0,69500.0,Samut Prakan,Car,Mock,2026-07-07T10:54:42.639371,5,3-5 yrs
mock_0148,Suzuki GSX-S150 2021,Suzuki,Gsx-S150,2021,36000.0,89700.0,Khon Kaen,Motorcycle,Mock,2026-07-07T10:54:42.639371,5,3-5 yrs
